equation,section,manual_page,pdf_page,algorithm_ids,mapping_status,notes
2-226,Ranges and Distances,2-67,96,"[""TAOS-ALG-GEO-001""]",mapped,Sodano forward azimuth
2-227,Ranges and Distances,2-67,96,"[""TAOS-ALG-GEO-001""]",mapped,Sodano backward azimuth
2-228,Ranges and Distances,2-68,97,"[""TAOS-ALG-GEO-001""]",mapped,Corrected longitude difference for Sodano inverse method
2-229,Ranges and Distances,2-68,97,"[""TAOS-ALG-GEO-001""]",mapped,Reduced-latitude difference series
2-230,Ranges and Distances,2-68,97,"[""TAOS-ALG-GEO-001""]",mapped,Alternative reduced-latitude difference relation
2-231,Ranges and Distances,2-68,97,"[""TAOS-ALG-GEO-001""]",mapped,Third flattening parameter n
2-232,Ranges and Distances,2-68,97,"[""TAOS-ALG-GEO-002""]",mapped,Downrange and crossrange perpendicularity condition
2-233,Ranges and Distances,2-69,98,"[""TAOS-ALG-GEO-002""]",mapped,Newton-Raphson update used for downrange solution
2-234,Ranges and Distances,2-69,98,"[""TAOS-ALG-GEO-002""]",mapped,Downrange error function
2-235,Ranges and Distances,2-69,98,"[""TAOS-ALG-GEO-003""]",mapped,Sodano direct angular-distance correction
2-236,Ranges and Distances,2-69,98,"[""TAOS-ALG-GEO-003""]",mapped,Sodano direct auxiliary m
2-237,Ranges and Distances,2-69,98,"[""TAOS-ALG-GEO-003""]",mapped,Sodano direct auxiliary n
2-238,Ranges and Distances,2-69,98,"[""TAOS-ALG-GEO-003""]",mapped,Normalized surface distance xi
2-239,Ranges and Distances,2-69,98,"[""TAOS-ALG-GEO-003""]",mapped,Printed Sodano eccentricity factor e prime
2-240,Ranges and Distances,2-70,99,"[""TAOS-ALG-GEO-003""]",mapped,Direct-method geodetic latitude
2-241,Ranges and Distances,2-70,99,"[""TAOS-ALG-GEO-003""]",mapped,Direct-method sine of reduced latitude beta2
2-242,Ranges and Distances,2-70,99,"[""TAOS-ALG-GEO-003""]",mapped,Direct-method cosine of reduced latitude beta2
2-243,Ranges and Distances,2-70,99,"[""TAOS-ALG-GEO-003""]",mapped,Direct-method longitude
2-244,Ranges and Distances,2-70,99,"[""TAOS-ALG-GEO-003""]",mapped,Direct-method longitude correction l
2-245,Ranges and Distances,2-70,99,"[""TAOS-ALG-GEO-003""]",mapped,Direct-method backward azimuth
2-246,Radar Observations,2-71,100,"[""TAOS-ALG-RADAR-001""]",mapped,Vehicle position relative to radar station
2-247,Radar Observations,2-71,100,"[""TAOS-ALG-RADAR-001""]",mapped,Radar line-of-sight unit vector
2-248,Radar Observations,2-71,100,"[""TAOS-ALG-RADAR-001""]",mapped,Radar azimuth angle
2-249,Radar Observations,2-71,100,"[""TAOS-ALG-RADAR-001""]",mapped,Radar elevation angle
2-250,Radar Observations,2-72,101,"[""TAOS-ALG-RADAR-001""]",mapped,Radar range rate
2-251,Radar Observations,2-72,101,"[""TAOS-ALG-RADAR-001""]",mapped,Radar range acceleration
2-252,Radar Observations,2-72,101,"[""TAOS-ALG-RADAR-001""]",mapped,Radar line-of-sight unit-vector rate
2-253,Radar Observations,2-72,101,"[""TAOS-ALG-RADAR-001""]",mapped,Radar line-of-sight unit-vector acceleration
2-254,Radar Observations,2-72,101,"[""TAOS-ALG-RADAR-001""]",mapped,Radar azimuth rate
2-255,Radar Observations,2-72,101,"[""TAOS-ALG-RADAR-001""]",mapped,Radar azimuth acceleration
2-256,Radar Observations,2-72,101,"[""TAOS-ALG-RADAR-001""]",mapped,Radar elevation rate
2-257,Radar Observations,2-72,101,"[""TAOS-ALG-RADAR-001""]",mapped,Radar elevation acceleration
2-258,Radar Observations,2-73,102,"[""TAOS-ALG-RADAR-001""]",mapped,Radar aspect-angle sine
2-259,Radar Observations,2-73,102,"[""TAOS-ALG-RADAR-001""]",mapped,Radar aspect-angle cosine
2-260,Radar Observations,2-73,102,"[""TAOS-ALG-RADAR-001""]",mapped,Radar meridional-angle sine
2-261,Radar Observations,2-73,102,"[""TAOS-ALG-RADAR-001""]",mapped,Radar meridional-angle cosine
2-262,Relative Vehicle Calculations,2-74,103,"[""TAOS-ALG-REL-001""]",mapped,Relative position of the ith vehicle
2-263,Relative Vehicle Calculations,2-74,103,"[""TAOS-ALG-REL-001""]",mapped,Relative line-of-sight unit vector
2-264,Relative Vehicle Calculations,2-74,103,"[""TAOS-ALG-REL-001""]",mapped,Relative vehicle azimuth
2-265,Relative Vehicle Calculations,2-74,103,"[""TAOS-ALG-REL-001""]",mapped,Relative vehicle elevation
2-266,Initial Impact Point Calculations,2-75,104,"[""TAOS-ALG-IIP-001""]",mapped,IIP aerodynamic acceleration from drag coefficient and ballistic coefficient
2-267,Initial Impact Point Calculations,2-75,104,"[""TAOS-ALG-IIP-001""]",mapped,IIP aerodynamic acceleration using ballistic coefficient
2-268,Initial Impact Point Calculations,2-75,104,"[""TAOS-ALG-IIP-001""]",mapped,IIP aerodynamic acceleration using dynamic pressure
2-269,Initial Impact Point Calculations,2-75,104,"[""TAOS-ALG-IIP-001""]",mapped,IIP air-relative velocity unit vector
2-270,Initial Impact Point Calculations,2-75,104,"[""TAOS-ALG-IIP-001""]",mapped,IIP aerodynamic acceleration vector form
2-271,Aerodynamic Variables,2-77,106,"[""TAOS-ALG-AERO-001""]",mapped,Ballistic coefficient
2-272,Aerodynamic Variables,2-77,106,"[""TAOS-ALG-AERO-001""]",mapped,Lift-to-drag ratio
2-273,Control Variable Solution Process,2-82,111,"[""TAOS-ALG-GUID-003""]",mapped,Parabolic desired-state transition
2-274,Control Variable Solution Process,2-82,111,"[""TAOS-ALG-GUID-003""]",mapped,Derivative of parabolic desired-state transition
2-275,Control Variable Solution Process,2-83,112,"[""TAOS-ALG-GUID-003""]",mapped,Parabolic transition coefficient a
2-276,Control Variable Solution Process,2-83,112,"[""TAOS-ALG-GUID-003""]",mapped,Parabolic transition coefficient b
2-277,Control Variable Solution Process,2-83,112,"[""TAOS-ALG-GUID-004""]",mapped,Cubic desired-state transition
2-278,Control Variable Solution Process,2-83,112,"[""TAOS-ALG-GUID-004""]",mapped,Second derivative of cubic transition
2-279,Control Variable Solution Process,2-83,112,"[""TAOS-ALG-GUID-004""]",mapped,Cubic transition coefficient b
2-280,Control Variable Solution Process,2-84,113,"[""TAOS-ALG-GUID-004""]",mapped,Cubic transition coefficient a
2-281,Control Variable Solution Process,2-84,113,"[""TAOS-ALG-GUID-005""]",mapped,Multidimensional Newton-Raphson update
2-282,Control Variable Solution Process,2-84,113,"[""TAOS-ALG-GUID-005""]",mapped,Guidance residual Jacobian matrix
2-283,Control Variable Solution Process,2-84,113,"[""TAOS-ALG-GUID-005""]",mapped,Gaussian-elimination linear system
2-284,Intercepts and Proportional Navigation,2-85,114,"[""TAOS-ALG-GUID-006""]",mapped,Nonaccelerating intercept position equality
2-285,Intercepts and Proportional Navigation,2-85,114,"[""TAOS-ALG-GUID-006""]",mapped,Estimated time to intercept
2-286,Intercepts and Proportional Navigation,2-85,114,"[""TAOS-ALG-GUID-006""]",mapped,Predicted intercept point
2-287,Intercepts and Proportional Navigation,2-87,116,"[""TAOS-ALG-GUID-007""]",mapped,Line-of-sight yaw angle
2-288,Intercepts and Proportional Navigation,2-87,116,"[""TAOS-ALG-GUID-007""]",mapped,Line-of-sight pitch angle
2-289,Intercepts and Proportional Navigation,2-87,116,"[""TAOS-ALG-GUID-007""]",mapped,Line-of-sight yaw rate
2-290,Intercepts and Proportional Navigation,2-87,116,"[""TAOS-ALG-GUID-007""]",mapped,Line-of-sight pitch rate
2-291,Intercepts and Proportional Navigation,2-87,116,"[""TAOS-ALG-GUID-007""]",mapped,Proportional-navigation yaw acceleration
2-292,Intercepts and Proportional Navigation,2-87,116,"[""TAOS-ALG-GUID-007""]",mapped,Proportional-navigation pitch acceleration
2-293,Intercepts and Proportional Navigation,2-87,116,"[""TAOS-ALG-GUID-007""]",mapped,Closure velocity
2-294,Intercepts and Proportional Navigation,2-87,116,"[""TAOS-ALG-GUID-007""]",mapped,First printed line-of-sight rotation matrix
2-295,Intercepts and Proportional Navigation,2-87,116,"[""TAOS-ALG-GUID-007""]",mapped,Second printed line-of-sight rotation matrix
2-296,Intercepts and Proportional Navigation,2-88,117,"[""TAOS-ALG-GUID-007""]",mapped,Transposed line-of-sight to ECFC acceleration matrix
2-297,Intercepts and Proportional Navigation,2-88,117,"[""TAOS-ALG-GUID-007""]",mapped,Commanded ECFC acceleration components
2-298,Search Methods,2-98,127,"[""TAOS-ALG-SEARCH-001""]",mapped,Newton-Raphson local linearization
2-299,Search Methods,2-98,127,"[""TAOS-ALG-SEARCH-001""]",mapped,Newton-Raphson root update
2-300,Search Methods,2-99,128,"[""TAOS-ALG-SEARCH-002""]",mapped,Secant root estimate
2-301,Search Methods,2-99,128,"[""TAOS-ALG-SEARCH-003""]",mapped,Parabolic search polynomial
2-302,Search Methods,2-100,129,"[""TAOS-ALG-SEARCH-003""]",mapped,Parabolic interpolation coefficient b
2-303,Search Methods,2-100,129,"[""TAOS-ALG-SEARCH-003""]",mapped,Parabolic interpolation coefficient a
2-304,Search Methods,2-100,129,"[""TAOS-ALG-SEARCH-003""]",mapped,Parabolic interpolation coefficient c
2-305,Search Methods,2-100,129,"[""TAOS-ALG-SEARCH-003""]",mapped,Roots of the fitted parabola
2-306,Search Methods,2-101,130,"[""TAOS-ALG-SEARCH-004""]",mapped,First golden-section interior point
2-307,Search Methods,2-101,130,"[""TAOS-ALG-SEARCH-004""]",mapped,Second golden-section interior point
2-308,Search Methods,2-101,130,"[""TAOS-ALG-SEARCH-005""]",mapped,Stationary point of a parabola
2-309,Optimization,2-102,131,"[""TAOS-ALG-OPT-001""]",mapped,General nonlinear programming problem
2-310,Optimization,2-102,131,"[""TAOS-ALG-OPT-001""]",mapped,Active-set equality-constrained problem
2-311,Optimization,2-102,131,"[""TAOS-ALG-OPT-002""]",mapped,Quadratic approximation to the objective
2-312,Optimization,2-102,131,"[""TAOS-ALG-OPT-002""]",mapped,Linearized constraints
2-313,Optimization,2-103,132,"[""TAOS-ALG-OPT-002""]",mapped,Variable-metric quadratic subproblem
2-314,Optimization,2-104,133,"[""TAOS-ALG-OPT-003""]",mapped,Path-integrated maximum-altitude violation
2-315,Optimization,2-104,133,"[""TAOS-ALG-OPT-003""]",mapped,Printed maximum-altitude optimization constraint
3-1,Full Tables,3-13,148,"[""TAOS-ALG-TABLE-003""]",mapped,full-table vacuum-thrust example expression
4-1,Trajectory *Define data block,4-35,200,"[""TAOS-ALG-PRB-001""]",mapped,trajectory-level define expression example
4-2,Trajectory *Define data block,4-38,203,"[""TAOS-ALG-OPT-003"", ""TAOS-ALG-PRB-002""]",mapped,path-integral constraint branch
4-3,Trajectory *Define data block,4-38,203,"[""TAOS-ALG-OPT-003"", ""TAOS-ALG-PRB-002""]",mapped,path-integral constraint branch
4-4,*Initial data block,4-44,209,"[""TAOS-ALG-COORD-001"", ""TAOS-ALG-PRB-003""]",mapped,ECIC/ECFC initialization rotation
4-5,*Optimize data block,4-64,229,"[""TAOS-ALG-OPT-003"", ""TAOS-ALG-PRB-002""]",mapped,optimization path-constraint integral branch
4-6,*Optimize data block,4-64,229,"[""TAOS-ALG-OPT-003"", ""TAOS-ALG-PRB-002""]",mapped,optimization path-constraint integral branch
4-7,*Optimize data block,4-67,232,"[""TAOS-ALG-OPT-004""]",mapped,forward-difference derivative
4-8,*Optimize data block,4-67,232,"[""TAOS-ALG-OPT-004""]",mapped,central-difference derivative
