equation,latex_label,section,source_manual_page,source_pdf_page,source_pdf_sha256,reconstructed_page,reconstructed_section,tex_file,tex_line_start,tex_line_end,tex_label_line,latex_snippet_sha256,transcription_status,verification_scope,validation_suite,code_implementation_status,notes
2-58,eq:temporary-yaw-y-axis,Body-Fixed Cartesian Coordinate System,2-21,50,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-14,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,134,137,136,c8c902789a47f7445446cd4c38b0a7a91fd254ecb5014383e807dfdfc931cdc6,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Intermediate y axis for Euler-angle recovery
2-59,eq:temporary-yaw-x-linear-system,Body-Fixed Cartesian Coordinate System,2-21,50,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-14,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,139,153,152,9840b2d35c661ea2f2c2f2d1b0077d4ae4a11bf0b3bc3ef9b86e74219a40dd4a,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Linear system for intermediate x axis
2-60,eq:temporary-yaw-x-axis,Body-Fixed Cartesian Coordinate System,2-21,50,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-14,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,156,168,167,1192418aa19785d118beaa2a49f6d5dfa77cd98fe222861866d4717fc9ed5d7a,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Explicit intermediate x axis
2-61,eq:euler-angle-pole-convention,Body-Fixed Cartesian Coordinate System,2-22,51,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-14,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,171,177,176,135f43c1b47ae7aeda070dff26a13c42e2a82b01e346c2b92cbd42ca1a04a527,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Vertical-body Euler-angle singularity convention
2-62,eq:wind-corrected-velocity,Velocity Cartesian Coordinate Systems,2-24,53,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-15,Velocity Cartesian Coordinate Systems,manual/chapters/chapter02/01_08_velocity.tex,15,18,17,f03826ea534b1e3a9aac3b35e4054750ac3f4776095b1f5e25cbc765b799b9cd,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Wind-corrected velocity
2-63,eq:air-relative-velocity-x-axis,Velocity Cartesian Coordinate Systems,2-24,53,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-16,Velocity Cartesian Coordinate Systems,manual/chapters/chapter02/01_08_velocity.tex,38,42,41,2fdcf8435157ef0451c11a2db7ad2b9b9bd8f41adef08f850c287f1f6d0d31e8,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Wind-relative velocity x unit vector
2-64,eq:air-relative-velocity-y-axis,Velocity Cartesian Coordinate Systems,2-25,54,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-16,Velocity Cartesian Coordinate Systems,manual/chapters/chapter02/01_08_velocity.tex,43,48,47,3357102dbbf12a9e7776c05c236ff66d9595f7d098bbefaebf3660193da72dfa,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Wind-relative velocity y unit vector
2-65,eq:air-relative-velocity-z-axis,Velocity Cartesian Coordinate Systems,2-25,54,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-16,Velocity Cartesian Coordinate Systems,manual/chapters/chapter02/01_08_velocity.tex,49,54,53,d4ae5147c5f797b3ecd5c96d540d0ba862e3256c73d371e173bb87a6695bb5fe,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Wind-relative velocity z unit vector
2-66,eq:earth-relative-velocity-x-axis,Velocity Cartesian Coordinate Systems,2-25,54,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-16,Velocity Cartesian Coordinate Systems,manual/chapters/chapter02/01_08_velocity.tex,59,63,62,7380f6bfc71ab2b127908881c9d4856bcb3927468f9521f116d9366b58ae5b2e,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Earth-relative velocity x unit vector
2-67,eq:geodetic-to-velocity-transformation,Velocity Cartesian Coordinate Systems,2-25,54,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-16,Velocity Cartesian Coordinate Systems,manual/chapters/chapter02/01_08_velocity.tex,67,82,81,46c3f4d3e098395cb33882b28c46b5a3c56118d3128044e59553c4289f90966f,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Geodetic-to-velocity transformation matrix
2-68,eq:velocity-x-from-geodetic,Velocity Cartesian Coordinate Systems,2-25,54,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-16,Velocity Cartesian Coordinate Systems,manual/chapters/chapter02/01_08_velocity.tex,84,90,89,191d42e5ec3aad6ab6f3a6d1d49fab498035cfb6bd29d38157fb24ba8ab6f293,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Velocity x unit vector from geodetic flight-path angles
2-69,eq:velocity-y-from-geodetic,Velocity Cartesian Coordinate Systems,2-25,54,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-16,Velocity Cartesian Coordinate Systems,manual/chapters/chapter02/01_08_velocity.tex,91,96,95,88afc89ea800cfd0577762ef2786aa394982e553d4cefc6be107053e18f23ee8,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Velocity y unit vector from geodetic heading
2-70,eq:velocity-z-from-geodetic,Velocity Cartesian Coordinate Systems,2-25,54,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-16,Velocity Cartesian Coordinate Systems,manual/chapters/chapter02/01_08_velocity.tex,97,103,102,41afe318cc955a7f0a57b38b9a2b6cb588d6456b33b827050aa975d524a1ed13,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Velocity z unit vector from geodetic flight-path angles
2-71,eq:wind-unit-vectors,Wind Cartesian Coordinate System,2-26,55,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-16,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,24,31,30,4c19c36449d69eb8f9d0b048bb86d73d73fb153514c50c9b6f91ffd420d99205,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Wind unit vectors from bank angle
2-72,eq:wind-to-body-aero-transformation,Wind Cartesian Coordinate System,2-27,56,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-17,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,62,77,76,c96197d5b4214f986b3bbf7e4af61f67025f54df1c1853d2f79997a1c00c1058,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Wind-to-body aerodynamic rotation matrix
2-73,eq:body-x-from-aero-angles,Wind Cartesian Coordinate System,2-27,56,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-18,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,79,85,84,946b352a1a1d951a86020bd702b9dc5c5d8381edaf85684b5e59cfaed8a68742,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Body x unit vector from angle of attack and Euler sideslip
2-74,eq:body-y-from-aero-angles,Wind Cartesian Coordinate System,2-27,56,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-18,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,86,91,90,57181af3a16b3eb36ed6732c4eac1a999a3b11bfbce9bac5988fecea238d2b2c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Body y unit vector from Euler sideslip
2-75,eq:body-z-from-aero-angles,Wind Cartesian Coordinate System,2-27,56,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-18,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,92,98,97,a337d3c2e2b432e19594b92e870fc094fe64492166e711c3b4fca82b01f79977,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Body z unit vector from angle of attack and Euler sideslip
2-76,eq:projected-angle-of-attack,Wind Cartesian Coordinate System,2-27,56,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-18,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,106,111,110,d15fd13cb4f51314c10c56b3a3837b275e378097eed06581136c0efd61da1755,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Angle of attack projection definition
2-77,eq:projected-sideslip,Wind Cartesian Coordinate System,2-27,56,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-18,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,112,117,116,b71afedbbeec1064362273e9f927b829af5fd7d7e11de1ffabd814ce9c9f29c1,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Sideslip projection definition
2-78,eq:projected-sideslip-at-90-alpha,Wind Cartesian Coordinate System,2-29,58,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-18,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,145,150,149,df00dfe3803f07cdd2f605a3a064a5ce7c0a0e7f01744d26eb0ca852a39693ed,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Sideslip definition at ninety-degree angle of attack
2-79,eq:total-angle-of-attack,Wind Cartesian Coordinate System,2-29,58,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-19,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,170,176,175,8920b167465e1e96cf29704500c19e8ece184f0229ed2181794be0943b4195a7,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Total angle of attack definition
2-80,eq:windward-meridian,Wind Cartesian Coordinate System,2-29,58,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-19,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,177,182,181,8097c642f8c578701c58d02ab3bce73f0ad3aa63331ca4d911c503ca04c987ac,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Windward meridian definition
2-81,eq:alpha-betae-to-total-alpha,Wind Cartesian Coordinate System,2-30,59,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-19,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,199,205,204,99b321646d2c945d428737339faa0d4a8c1b1606c9bedcf902dbe60060c91696,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Total angle of attack from alpha and Euler sideslip
2-82,eq:alpha-betae-to-windward-meridian,Wind Cartesian Coordinate System,2-30,59,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-20,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,206,211,210,12f5100fddb987b324442c6a73308bbdf868086ff5a4390edc4757760640d7c7,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Windward meridian from alpha and Euler sideslip
2-83,eq:alpha-betae-to-beta,Wind Cartesian Coordinate System,2-30,59,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-20,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,212,217,216,174b67dd454b04a6aa5a9356126d4d2f806b3fcf53dfe54f4d3d8238a2f55acd,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Sideslip from alpha and Euler sideslip
2-84,eq:alpha-beta-to-total-alpha,Wind Cartesian Coordinate System,2-30,59,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-20,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,221,224,223,b33303188d8940ede6c0409c537edf84e4f395e025fa67ea619b39690a28f90e,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Total angle of attack from alpha and sideslip
2-85,eq:alpha-beta-to-windward-meridian,Wind Cartesian Coordinate System,2-30,59,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-20,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,225,228,227,023ff8e35bf8c3c86115adcab14e52e57c30a54205d7597a6e1d1447190a0e4c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Windward meridian from alpha and sideslip
2-86,eq:alpha-beta-to-euler-sideslip,Wind Cartesian Coordinate System,2-30,59,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-20,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,229,232,231,696b12f88eb4cf30798da72e2bf6ccb340ff842313ef4a1cb5d25308fd5a313d,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Euler sideslip from alpha and sideslip
2-87,eq:total-alpha-phi-to-alpha,Wind Cartesian Coordinate System,2-30,59,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-20,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,236,240,239,d454c7b5472595e70e604938393bfe3e66ede8a3fbcae2965029bdc40d0f8e73,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Angle of attack from total angle and windward meridian
2-88,eq:total-alpha-phi-to-beta,Wind Cartesian Coordinate System,2-30,59,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-20,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,241,245,244,e2ceb72b6eb71299262781734c4f347d4f0123751883d759cfce1e395bb9861c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Sideslip from total angle and windward meridian
2-89,eq:total-alpha-phi-to-euler-sideslip,Wind Cartesian Coordinate System,2-30,59,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-20,Wind Cartesian Coordinate System,manual/chapters/chapter02/01_09_wind.tex,246,249,248,ad77c92001c90b01b2927ed219ae355c9e04e0fbb003881bfebd921a5e4dbcd0,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Euler sideslip from total angle and windward meridian
2-90,eq:tangent-plane-x-unit-vector,Tangent Plane Cartesian Coordinate System,2-33,62,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-21,Tangent Plane Cartesian Coordinate System,manual/chapters/chapter02/01_11_tangent_plane.tex,17,28,27,591e0e24e8fa1b913b796b99667468b7c700e07ce4a81f16b489c4941f55ad98,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Tangent-plane x unit vector
2-91,eq:tangent-plane-y-unit-vector,Tangent Plane Cartesian Coordinate System,2-33,62,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-21,Tangent Plane Cartesian Coordinate System,manual/chapters/chapter02/01_11_tangent_plane.tex,29,40,39,c82255868f95c7bc55134ac67400e1b7a40bb5eec0e11f6c1700d8821bd8c322,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Tangent-plane y unit vector
2-92,eq:tangent-plane-z-unit-vector,Tangent Plane Cartesian Coordinate System,2-33,62,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-21,Tangent Plane Cartesian Coordinate System,manual/chapters/chapter02/01_11_tangent_plane.tex,41,47,46,6b05e74f8f613f8f4646d6a2cc22599761cb9a2bfa68058232ca45420311c28f,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Tangent-plane z unit vector
2-93,eq:ecfc-to-body-force-transformation,Coordinate Transformations,2-35,64,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-22,Coordinate Transformations,manual/chapters/chapter02/01_12_coordinate_transformations.tex,14,33,32,f5724635996520cd62ad2cff03c7c323a043b105544d875f40daa74fbaa60f1f,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,ECFC-to-body projection of propulsive force
2-94,eq:body-to-ecfc-force-transformation,Coordinate Transformations,2-35,64,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-22,Coordinate Transformations,manual/chapters/chapter02/01_12_coordinate_transformations.tex,38,44,43,4e2406d8ec8a23e26e9638099913c1a2cded58de3ddf28fb51611f13a2bacece,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Inverse body-to-ECFC force transformation
2-95,eq:body-to-ecfc-force-transformation-transpose,Coordinate Transformations,2-35,64,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-22,Coordinate Transformations,manual/chapters/chapter02/01_12_coordinate_transformations.tex,45,55,54,7843fadc1da4a513e589bb63472697a69ead14175cd530b809a5ed2f7fd7fc5a,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Transpose form of body-to-ECFC force transformation
2-96,eq:body-to-ecfc-force-transformation-columns,Coordinate Transformations,2-35,64,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-23,Coordinate Transformations,manual/chapters/chapter02/01_12_coordinate_transformations.tex,56,64,63,87207e3ffb85fd62741dff6a32cd13383df291521755b455e4e2c2cfc83f57b7,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Column-vector form of body-to-ECFC force transformation
2-97,eq:newton-point-mass,Equations of Motion,2-36,65,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-23,Equations of Motion,manual/chapters/chapter02/02_00_equations_of_motion.tex,6,9,8,f5b75d587c5e0ee9402fd6b3ea2652b1732084be15a3966a226bc34ed6c6bdc5,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Newton second law for a point mass
2-98,eq:inertial-position-second-derivative,Equations of Motion,2-36,65,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-23,Equations of Motion,manual/chapters/chapter02/02_00_equations_of_motion.tex,17,23,22,ebc823118e9f425c1962ed0d053c0a4b1a7da6e460eebf937ad7cc2d0fbc0a5b,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Inertial acceleration as the second position derivative
2-99,eq:inertial-derivative-earth-fixed-inner,Equations of Motion,2-36,65,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-23,Equations of Motion,manual/chapters/chapter02/02_00_equations_of_motion.tex,27,35,34,ad8f86252df833ea3198537063350e36ca57d2bce5b30ad88ea807020034720a,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Transport theorem with earth-fixed inner derivative
2-100,eq:transport-theorem-expanded,Equations of Motion,2-36,65,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-23,Equations of Motion,manual/chapters/chapter02/02_00_equations_of_motion.tex,38,53,52,4f41c013cede92b24c84856f8ee26ec266c2fdf20691b8b1fb712c3fa2b9768c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Transport theorem evaluated in the rotating frame
2-101,eq:inertial-acceleration-expanded,Equations of Motion,2-36,65,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-23,Equations of Motion,manual/chapters/chapter02/02_00_equations_of_motion.tex,55,70,69,bcaec1cf984874e52b3d9723fea872246795617aff50ade1a3f0914ea3e11c80,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Expanded inertial acceleration
2-102,eq:earth-relative-velocity-acceleration-definitions,Equations of Motion,2-36,65,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-23,Equations of Motion,manual/chapters/chapter02/02_00_equations_of_motion.tex,73,80,79,1df4ae42147df2051a46fde605ff7569558d7ddc6047293b9256f602492cc271,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Earth-relative velocity and acceleration definitions
2-103,eq:inertial-acceleration-grouped,Equations of Motion,2-37,66,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-23,Equations of Motion,manual/chapters/chapter02/02_00_equations_of_motion.tex,82,96,95,c0ed7436ad639c3bfc9e8f6ecded5737ce50cb8f03775070d191e3c8769afa79,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Grouped inertial acceleration terms
2-104,eq:inertial-earth-acceleration-relation,Equations of Motion,2-37,66,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-23,Equations of Motion,manual/chapters/chapter02/02_00_equations_of_motion.tex,98,105,104,9ef54e523eba3ba0445783dcd8c23f68b6a88845d1cc953dddd75335dfd96e36,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Inertial and earth-fixed acceleration relationship
2-105,eq:earth-fixed-equation-of-motion,Equations of Motion,2-37,66,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-24,Equations of Motion,manual/chapters/chapter02/02_00_equations_of_motion.tex,109,116,115,d422f541ebededd8922b0fade52e98dad1a680e50e757dac8eb916c626da5e11,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Earth-fixed rotating-earth equation of motion
2-106,eq:first-order-equations-of-motion,Equations of Motion,2-37,66,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-24,Equations of Motion,manual/chapters/chapter02/02_00_equations_of_motion.tex,119,129,128,85b7bb9894f55153c6d5c159a38b3116aa3e69da7df1d5ee3eca771c72b45fb1,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,First-order equations of motion
2-107,eq:trajectory-state-vector,Numerical Integration,2-38,67,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-24,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,6,22,21,9090cfd6e9db03abc0934d2083388c0b7323c5cd3aa55d6985146007dec93a26,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Six-component ECFC state vector
2-108,eq:trajectory-state-derivative-vector,Numerical Integration,2-38,67,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-24,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,25,42,41,8516ccf2865ca9586ea88c12202cbe7c002ad07b954dc7b72cf5593dec5d2bef,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,State derivative vector
2-109,eq:ecfc-x-acceleration-state-form,Numerical Integration,2-38,67,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-24,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,45,51,50,3262137165f5e2658da1f846f14edfa7964702a1ff630c5432736a940484b898,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,ECFC x acceleration component
2-110,eq:ecfc-y-acceleration-state-form,Numerical Integration,2-38,67,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-24,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,52,58,57,887eea94ca162965ae08be57ae17ae7b65b0edfb016edee34c0ebdf9f909671b,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,ECFC y acceleration component
2-111,eq:ecfc-z-acceleration-state-form,Numerical Integration,2-38,67,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-24,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,59,63,62,127517415cfbb8296c882287f61ce8f7904a9df11a7de38e2436b6da84e2e972,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,ECFC z acceleration component
2-112,eq:earth-spin-rate-magnitude,Numerical Integration,2-38,67,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-24,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,65,68,67,a759e12bbe516f77c9a480821beed0988e16a5d2e8bec54d8b889de20c702ddb,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Earth spin-rate magnitude
2-113,eq:augmented-trajectory-state,Numerical Integration,2-39,68,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-25,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,107,124,123,f7f006651aa1159e1e82fb9df5952b4a78686e7d8f907342057c6c3f17b3b782,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Augmented integration state and derivative vectors
2-114,eq:runge-kutta-fourth-order-step,Numerical Integration,2-40,69,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-25,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,128,139,138,e77692917bce250de63631884c97e1ad22a6ace96eb4d68ac37d53931c087d41,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Fourth-order Runge-Kutta update
2-115,eq:runge-kutta-stage-zero,Numerical Integration,2-40,69,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-25,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,141,144,143,9e55b4fae994f90a7380cdf7b7dd990c50468019a9221f4d7acd3e8ba3bc2797,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Runge-Kutta first derivative evaluation
2-116,eq:runge-kutta-stage-one,Numerical Integration,2-40,69,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-25,Numerical Integration,manual/chapters/chapter02/02_01_numerical_integration.tex,145,153,152,4ff713bc40921b6c2ff7b654c3598ecf45353f7428cd989d2e481d52ea9211ac,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_section22.py,implemented,Runge-Kutta second derivative evaluation
